"","continent_level","date","cases","new_cases","deaths","new_deaths","days_since_case100","days_since_case10","days_since_death10","days_since_death1","continent"
"50","Africa",2020-04-03,7913,881,331,44,25,32,18,27,"Africa"
"51","Africa",2020-04-04,8592,679,383,52,26,33,19,28,"Africa"
"52","Africa",2020-04-05,9302,710,444,61,27,34,20,29,"Africa"
"53","Africa",2020-04-06,10003,701,487,43,28,35,21,30,"Africa"
"54","Africa",2020-04-07,10636,633,533,46,29,36,22,31,"Africa"
"55","Africa",2020-04-08,11440,804,574,41,30,37,23,32,"Africa"
"56","Asia",2020-01-22,554,554,17,17,1,1,1,1,"Asia"
"57","Asia",2020-01-23,653,99,18,1,2,2,2,2,"Asia"
"58","Asia",2020-01-24,937,284,26,8,3,3,3,3,"Asia"
"59","Asia",2020-01-25,1429,492,42,16,4,4,4,4,"Asia"
"60","Asia",2020-01-26,2105,676,56,14,5,5,5,5,"Asia"
"61","Asia",2020-01-27,2912,807,82,26,6,6,6,6,"Asia"
"62","Asia",2020-01-28,5558,2646,131,49,7,7,7,7,"Asia"
"63","Asia",2020-01-29,6143,585,133,2,8,8,8,8,"Asia"
"64","Asia",2020-01-30,8208,2065,171,38,9,9,9,9,"Asia"
"65","Asia",2020-01-31,9889,1681,213,42,10,10,10,10,"Asia"
"66","Asia",2020-02-01,11991,2102,259,46,11,11,11,11,"Asia"
"67","Asia",2020-02-02,16738,4747,362,103,12,12,12,12,"Asia"
"68","Asia",2020-02-03,19827,3089,426,64,13,13,13,13,"Asia"
"69","Asia",2020-02-04,23836,4009,492,66,14,14,14,14,"Asia"
"70","Asia",2020-02-05,27578,3742,564,72,15,15,15,15,"Asia"
"71","Asia",2020-02-06,30736,3158,634,70,16,16,16,16,"Asia"
"72","Asia",2020-02-07,34266,3530,719,85,17,17,17,17,"Asia"
"73","Asia",2020-02-08,36990,2724,806,87,18,18,18,18,"Asia"
"74","Asia",2020-02-09,40015,3025,906,100,19,19,19,19,"Asia"
"75","Asia",2020-02-10,42551,2536,1013,107,20,20,20,20,"Asia"
"76","Asia",2020-02-11,44588,2037,1113,100,21,21,21,21,"Asia"
"77","Asia",2020-02-12,44966,378,1118,5,22,22,22,22,"Asia"
"78","Asia",2020-02-13,60112,15146,1371,253,23,23,23,23,"Asia"
"79","Asia",2020-02-14,66585,6473,1523,152,24,24,24,24,"Asia"
"80","Asia",2020-02-15,68662,2077,1665,142,25,25,25,25,"Asia"
"81","Asia",2020-02-16,70786,2124,1769,104,26,26,26,26,"Asia"
"82","Asia",2020-02-17,72720,1934,1867,98,27,27,27,27,"Asia"
