"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","per1M","newper1M","activeper1M","days_since_case100","days_since_case10","days_since_death10","days_since_death1"
"5193","Saint Lucia",2020-04-08,78,14,0,0,0,1,0,13,7.6,0,7.1,76.1,0,70.7,0,9,0,0
"5234","Saint Vincent and the Grenadines",2020-04-08,78,8,0,0,0,1,0,7,7.2,0,6.3,72.1,0,63.1,0,0,0,0
"5265","San Marino",2020-04-08,78,279,0,34,0,40,0,205,820.6,0,602.9,8205.9,0,6029.4,25,37,22,37
"5280","Sao Tome and Principe",2020-04-08,78,4,0,0,0,0,0,4,1.8,0,1.8,18.3,0,18.3,0,0,0,0
"5294","Saudi Arabia",2020-04-08,78,2932,137,41,0,631,16,2260,8.4,0.4,6.5,84.2,3.9,64.9,26,32,9,16
"5339","Senegal",2020-04-08,78,244,7,2,0,113,8,129,1.5,0,0.8,14.6,0.4,7.7,14,27,0,8
"5369","Serbia",2020-04-08,78,2666,219,65,4,0,0,2601,30.5,2.5,29.8,305.1,25.1,297.7,21,29,12,20
"5407","Seychelles",2020-04-08,78,11,0,0,0,0,0,11,11.2,0,11.2,112.2,0,112.2,0,9,0,0
"5418","Sierra Leone",2020-04-08,78,7,1,0,0,0,0,7,0.1,0,0.1,0.9,0.1,0.9,0,0,0,0
"5467","Singapore",2020-04-08,78,1623,142,6,0,406,29,1211,27.7,2.4,20.7,277.4,24.3,207,40,70,0,19
"5512","Slovakia",2020-04-08,78,682,101,2,0,16,3,664,12.5,1.8,12.2,124.9,18.5,121.6,22,29,0,12
"5566","Slovenia",2020-04-08,78,1091,32,40,4,120,18,931,52.5,1.5,44.8,524.8,15.4,447.8,27,32,11,26
"5594","Somalia",2020-04-08,78,12,4,1,1,1,0,10,0.1,0,0.1,0.8,0.3,0.6,0,1,0,1
"5598","South Africa",2020-04-08,78,1845,96,18,5,95,0,1732,3.1,0.2,2.9,31.1,1.6,29.2,22,29,4,13
"5633","South Sudan",2020-04-08,78,2,0,0,0,0,0,2,0,0,0,0.2,0,0.2,0,0,0,0
"5643","Spain",2020-04-08,78,148220,6278,14792,747,48021,4813,85407,317,13.4,182.7,3170.1,134.3,1826.7,38,43,33,37
"5725","Sri Lanka",2020-04-08,78,189,4,7,1,44,2,138,0.9,0,0.6,8.8,0.2,6.4,16,26,0,12
"5797","Sudan",2020-04-08,78,14,0,2,0,2,0,10,0,0,0,0.3,0,0.2,0,6,0,27
"5809","Suriname",2020-04-08,78,10,0,1,0,3,3,6,1.7,0,1,17,0,10.2,0,8,0,6
"5864","Sweden",2020-04-08,78,8419,726,687,96,205,0,7527,83.4,7.2,74.5,833.6,71.9,745.3,34,40,22,29
"5907","Switzerland",2020-04-08,78,23280,1027,895,74,9800,1096,12585,269,11.9,145.4,2689.8,118.7,1454.1,35,40,27,35
"5960","Syria",2020-04-08,78,19,0,2,0,4,1,13,0.1,0,0.1,1.1,0,0.7,0,10,0,11
"6032","Taiwan",2020-04-08,78,379,3,5,0,61,4,313,1.6,0,1.3,15.9,0.1,13.1,22,69,0,53
"6043","Tanzania, United Republic of",2020-04-08,78,25,1,1,0,5,0,19,0,0,0,0.4,0,0.3,0,18,0,9
"6116","Thailand",2020-04-08,78,2369,111,30,3,888,0,1451,3.4,0.2,2.1,33.9,1.6,20.8,25,72,9,39
"6143","The Bahamas",2020-04-08,78,40,7,7,1,5,0,28,10.2,1.8,7.1,101.8,17.8,71.2,0,13,0,8
"6181","The Gambia",2020-04-08,78,4,0,1,0,2,0,1,0.2,0,0,1.7,0,0.4,0,0,0,17
"6199","Timor-Leste",2020-04-08,78,1,0,0,0,0,0,1,0.1,0,0.1,0.8,0,0.8,0,0,0,0
"6210","Togo",2020-04-08,78,70,5,3,0,23,0,44,0.8,0.1,0.5,8.5,0.6,5.3,0,19,0,13
"6243","Trinidad and Tobago",2020-04-08,78,107,0,8,0,1,0,98,7.6,0,7,76.5,0,70.1,5,19,0,15
"6287","Tunisia",2020-04-08,78,628,5,24,1,25,0,579,5.3,0,4.9,53.1,0.4,49,16,27,9,21
"6322","Turkey",2020-04-08,78,38226,4117,812,87,1846,264,35568,45.3,4.9,42.2,453.2,48.8,421.7,21,24,18,23
"6340","Uganda",2020-04-08,78,53,1,0,0,0,0,53,0.1,0,0.1,1.2,0,1.2,0,15,0,0
"6350","UK",2020-04-08,78,61474,5525,7111,940,345,20,54018,90.6,8.1,79.6,905.5,81.4,795.7,35,45,26,35
"6425","Ukraine",2020-04-08,78,1668,206,52,7,35,7,1581,3.8,0.5,3.6,38.1,4.7,36.2,15,23,11,27
"6481","United Arab Emirates",2020-04-08,78,2659,300,12,0,239,53,2408,26.9,3,24.3,268.9,30.3,243.5,22,47,5,20
"6539","Uruguay",2020-04-08,78,424,0,7,0,150,0,267,12.2,0,7.7,122,0,76.9,19,23,0,11
"6565","USA",2020-04-08,78,429052,32829,14695,1973,23559,1796,390798,129.6,9.9,118.1,1296.2,99.2,1180.6,37,66,36,40
"6634","Uzbekistan",2020-04-08,78,545,25,3,1,30,0,512,1.6,0.1,1.5,16.3,0.7,15.3,12,23,0,13
"6679","Venezuela",2020-04-08,78,167,2,9,2,65,0,93,0.6,0,0.3,5.9,0.1,3.3,14,25,0,13
"6697","Vietnam",2020-04-08,78,251,2,0,0,126,3,125,0.3,0,0.1,2.6,0,1.3,18,63,0,0
"6761","West Bank and Gaza",2020-04-08,78,263,2,1,0,44,2,218,5.5,0,4.5,54.8,0.4,45.4,11,33,0,14
"6795","Western Sahara",2020-04-08,78,4,0,0,0,0,0,4,0.7,0,0.7,6.7,0,6.7,0,0,0,0
"6800","Zambia",2020-04-08,78,39,0,1,0,7,0,31,0.2,0,0.2,2.1,0,1.7,0,15,0,7
"6828","Zimbabwe",2020-04-08,78,11,0,3,1,0,0,8,0.1,0,0.1,0.7,0,0.5,0,3,0,17
